21.415,83.123
40.171,88.478
35.551,96.159
40.054,127.511
9.099,32.674
2.253,54.684
47.494,128.296
32.202,80.944
14.228,76.907
21.741,92.788
43.432,136.03
12.254,51.366
1.006,26.111
20.573,90.581
33.032,108.713
15.319,71.272
49.574,130.682
30.994,110.738
46.141,132.651
46.213,128.492
19.509,84.29
27.906,76.012
21.978,54.046
15.097,51.944
46.297,124.884
26.104,99.362
20.451,76.136
1.973,15.203
30.957,80.757
5.031,18.183
22.712,55.657
26.869,68.181
9.585,54.413
15.958,75.11
25.059,69.064
38.73,97.906
46.523,103.919
43.612,98.706
25.435,66.702
23.209,72.893
35.33,74.968
26.327,74.569
2.777,43.426
29.865,84.725
10.937,73.457
25.1,94.348
8.111,29.113
49.768,140.513
3.261,14.791
21.554,64.651
43.811,123.272
40.554,85.125
8.336,52.873
39.781,109.649
38.826,118.716
26.274,103.747
30.881,89.727
42.069,97.305
27.015,84.902
2.115,22.287
16.13,72.211
11.357,48.511
2.192,31.742
18.505,75.672
23.72,92.004
47.981,143.573
18.649,57.292
29.897,68.882
43.911,95.034
21.329,49.167
10.769,46.738
41.498,118.823
5.006,39.487
27.524,92.591
24.503,99.212
24.994,87.693
45.111,142.281
42.249,118.793
13.421,46.35
8.834,60.592
44.047,115.027
21.183,79.539
23.305,69.069
4.979,51.145
27.167,62.141
35.998,89.091
26.034,64.006
15.338,48.664
4.234,22.694
35.259,84.398
18.412,61.127
39.132,103.091
27.848,108.961
40.552,114.227
4.678,54.763
39.127,104.572
43.489,126.646
3.014,11.987
4.175,48.584
23.239,64.997
