utc_timestamp,solarprofile,windprofile
2015-01-01T00:00:00Z,,
2015-01-01T00:30:00Z,,
2015-01-01T01:00:00Z,,
2015-01-01T01:30:00Z,,0.0676
2015-01-01T02:00:00Z,,0.068
2015-01-01T02:30:00Z,,0.068
2015-01-01T03:00:00Z,,0.0672
2015-01-01T03:30:00Z,,0.0672
2015-01-01T04:00:00Z,,0.0672
2015-01-01T04:30:00Z,,0.0666
2015-01-01T05:00:00Z,,0.0666
2015-01-01T05:30:00Z,,0.0659
2015-01-01T06:00:00Z,,0.0659
2015-01-01T06:30:00Z,,0.0662
2015-01-01T07:00:00Z,,0.0662
2015-01-01T07:30:00Z,,0.0685
2015-01-01T08:00:00Z,,0.071
2015-01-01T08:30:00Z,,0.071
2015-01-01T09:00:00Z,,0.0723
2015-01-01T09:30:00Z,0.0049,0.0723
2015-01-01T10:00:00Z,0.0244,0.076
2015-01-01T10:30:00Z,0.0229,0.076
2015-01-01T11:00:00Z,0.021,0.076
2015-01-01T11:30:00Z,0.0195,0.0796
2015-01-01T12:00:00Z,0.018,0.0829
2015-01-01T12:30:00Z,0.0161,0.0829
2015-01-01T13:00:00Z,0.0146,0.0856
2015-01-01T13:30:00Z,0.0131,0.0856
2015-01-01T14:00:00Z,0.0112,0.0869
2015-01-01T14:30:00Z,0.0097,0.0869
2015-01-01T15:00:00Z,0.0386,0.0873
2015-01-01T15:30:00Z,0.0307,0.0879
2015-01-01T16:00:00Z,0.0232,0.0883
2015-01-01T16:30:00Z,0.0154,0.0883
2015-01-01T17:00:00Z,0,0.0883
2015-01-01T17:30:00Z,0,0.0892
2015-01-01T18:00:00Z,0,0.0892
2015-01-01T18:30:00Z,0,0.0894
2015-01-01T19:00:00Z,0,0.0911
2015-01-01T19:30:00Z,0,0.0911
2015-01-01T20:00:00Z,0,0.0923
2015-01-01T20:30:00Z,0,0.0923
2015-01-01T21:00:00Z,0,0.0917
2015-01-01T21:30:00Z,0,0.0918
2015-01-01T22:00:00Z,0,0.0934
2015-01-01T22:30:00Z,0,0.0934
2015-01-01T23:00:00Z,0,0.0934
2015-01-01T23:30:00Z,0,0
2015-01-02T00:00:00Z,0,0
2015-01-02T00:30:00Z,0,0
2015-01-02T01:00:00Z,0,0.0952
2015-01-02T01:30:00Z,0,0.0952
2015-01-02T02:00:00Z,0,0.0952
2015-01-02T02:30:00Z,0,0.0938
2015-01-02T03:00:00Z,0,0.0914
2015-01-02T03:30:00Z,0,0.0914
2015-01-02T04:00:00Z,0,0.0914
2015-01-02T04:30:00Z,0,0.0898
2015-01-02T05:00:00Z,0,0.0898
2015-01-02T05:30:00Z,0,0.0889
