0.0,32.326
0.204,24.427
0.408,26.801
0.612,27.332
0.816,22.356
1.02,21.121
1.224,15.427
1.429,22.001
1.633,11.881
1.837,12.223
2.041,9.575
2.245,17.14
2.449,9.084
2.653,5.675
2.857,13.966
3.061,10.168
3.265,10.122
3.469,8.73
3.673,11.729
3.878,8.746
4.082,6.24
4.286,3.379
4.49,6.52
4.694,5.783
4.898,0.115
5.102,4.454
5.306,5.818
5.51,0.835
5.714,6.646
5.918,5.938
6.122,3.045
6.327,2.43
6.531,9.741
6.735,9.901
6.939,4.785
7.143,7.93
7.347,7.422
7.551,10.936
7.755,10.466
7.959,12.49
8.163,10.824
8.367,13.683
8.571,13.816
8.776,16.006
8.98,25.261
9.184,27.213
9.388,19.979
9.592,24.907
9.796,31.36
10.0,30.512
