X,Y
0.0,3.99
0.2,4.11
0.41,4.24
0.61,4.22
0.82,4.27
1.02,4.47
1.22,4.53
1.43,4.49
1.63,4.63
1.84,4.6
2.04,4.58
2.24,4.74
2.45,4.68
2.65,4.79
2.86,4.73
3.06,4.78
3.27,4.72
3.47,4.79
3.67,4.92
3.88,4.84
4.08,4.82
4.29,4.92
4.49,4.93
4.69,4.97
4.9,4.86
5.1,4.9
5.31,4.9
5.51,5.02
5.71,4.86
5.92,4.97
6.12,5.03
6.33,4.92
6.53,5.02
6.73,4.89
6.94,4.96
7.14,5.07
7.35,5.07
7.55,5.01
7.76,4.91
7.96,5.06
8.16,5.07
8.37,5.0
8.57,4.94
8.78,4.96
8.98,4.93
9.18,5.07
9.39,4.91
9.59,5.0
9.8,5.08
10.0,4.94
