X,Y
0.0,0.9
0.2,0.95
0.41,0.75
0.61,0.87
0.82,1.02
1.02,0.75
1.22,0.56
1.43,0.68
1.63,0.51
1.84,0.14
2.04,-0.27
2.24,-0.39
2.45,-0.77
2.65,-0.82
2.86,-0.73
3.06,-1.03
3.27,-1.28
3.47,-0.87
3.67,-0.99
3.88,-0.92
4.08,-1.01
4.29,-0.45
4.49,-0.61
4.69,-0.58
4.9,-0.1
5.1,0.4
5.31,0.03
5.51,0.26
5.71,0.57
5.92,0.56
6.12,0.67
6.33,1.01
6.53,1.12
6.73,1.1
6.94,1.07
7.14,1.09
7.35,0.44
7.55,0.84
7.76,0.16
7.96,0.1
8.16,-0.09
8.37,-0.4
8.57,-0.28
8.78,-0.62
8.98,-0.62
9.18,-1.04
9.39,-0.66
9.59,-0.83
9.8,-0.73
10.0,-0.8
