X,Y
0.0,80.61
0.2,84.98
0.41,85.24
0.61,92.14
0.82,97.96
1.02,99.8
1.22,104.09
1.43,102.26
1.63,104.33
1.84,110.63
2.04,110.74
2.24,116.63
2.45,117.61
2.65,119.46
2.86,122.88
3.06,124.9
3.27,124.54
3.47,124.56
3.67,124.83
3.88,129.4
4.08,129.4
4.29,126.27
4.49,127.16
4.69,130.6
4.9,131.58
5.1,129.21
5.31,127.66
5.51,126.75
5.71,129.2
5.92,125.55
6.12,130.23
6.33,127.89
6.53,127.29
6.73,123.26
6.94,121.11
7.14,118.96
7.35,121.53
7.55,114.88
7.76,116.73
7.96,111.06
8.16,112.6
8.37,106.06
8.57,102.96
8.78,103.71
8.98,96.04
9.18,96.29
9.39,94.13
9.59,87.03
9.8,83.65
10.0,79.17
