X,Y
0.0,39.42
0.2,39.43
0.41,39.57
0.61,38.98
0.82,39.13
1.02,38.16
1.22,36.63
1.43,34.5
1.63,33.26
1.84,35.42
2.04,34.45
2.24,34.96
2.45,30.99
2.65,30.09
2.86,30.1
3.06,31.65
3.27,30.89
3.47,28.93
3.67,27.54
3.88,29.53
4.08,29.02
4.29,28.62
4.49,26.13
4.69,25.65
4.9,25.68
5.1,25.06
5.31,25.41
5.51,23.81
5.71,21.23
5.92,23.4
6.12,23.49
6.33,23.02
6.53,21.25
6.73,18.17
6.94,19.48
7.14,18.13
7.35,19.26
7.55,16.67
7.76,14.97
7.96,17.14
8.16,16.67
8.37,13.56
8.57,14.07
8.78,11.82
8.98,11.35
9.18,12.54
9.39,13.47
9.59,9.91
9.8,9.93
10.0,11.47
